campaign_id,campaign_name,campaign_type,start_date,end_date,target_segment,asset_class_focus,product_focus,region,campaign_cost,advisors_reached,emails_opened,events_attended,materials_downloaded,followups_requested,meetings_scheduled,avg_engagement,opportunities_generated,qualified_opps,committed_opps,expected_pipeline,committed_capital,cost_per_advisor_reached,cost_per_qualified_opportunity,cost_per_committed_opportunity,committed_capital_to_cost_multiple,fee_revenue_proxy_usd,roi_pct
C017,Private Equity Growth Equity Email Campaign Oct 2025,Email Campaign,2025-10-08,2025-11-20,All Wealth,Private Equity,Growth Equity,National,6523,148,65,0,14,2,0,7.85,16,6,3,669000000,487750000.0,44.07,1087.17,2174.33,74773.88,12193750.0,186834.7
C002,Private Equity Growth Equity Roadshow Mar 2026,Roadshow,2026-03-11,2026-03-20,Institutional,Private Equity,Growth Equity,Midwest,112742,35,28,14,6,4,0,23.8,20,9,5,740500000,377500000.0,3221.2,12526.89,22548.4,3348.35,9437500.0,8270.9
C028,Real Estate Opportunistic Real Estate Email Campaign Aug 2025,Email Campaign,2025-08-18,2025-09-10,Private Bank / Wirehouse,Real Estate,Opportunistic Real Estate,International,5735,39,18,0,5,2,0,9.26,16,11,5,1044250000,357000000.0,147.05,521.36,1147.0,62249.35,8925000.0,155523.4
C010,Private Credit Opportunistic Credit Product Launch Dec 2025,Product Launch,2025-12-27,2025-12-29,All Wealth,Private Credit,Opportunistic Credit,International,71572,20,9,1,2,1,0,9.2,19,6,2,1076000000,266500000.0,3578.6,11928.67,35786.0,3723.52,6662500.0,9208.8
C006,Real Estate Opportunistic Real Estate Roadshow Sep 2025,Roadshow,2025-09-26,2025-10-11,Private Bank / Wirehouse,Real Estate,Opportunistic Real Estate,International,110232,46,33,19,9,9,3,27.02,21,10,3,967250000,199750000.0,2396.35,11023.2,36744.0,1812.09,4993750.0,4430.2
C023,Infrastructure Core Infrastructure Market Outlook Event Nov 2025,Market Outlook Event,2025-11-26,2025-12-14,All Wealth,Infrastructure,Core Infrastructure,National,58398,109,62,34,18,10,2,20.51,15,6,2,515750000,181250000.0,535.76,9733.0,29199.0,3103.7,4531250.0,7659.3
C022,Private Credit Opportunistic Credit Roadshow Jun 2025,Roadshow,2025-06-17,2025-07-24,RIA,Private Credit,Opportunistic Credit,National,112897,37,29,17,13,8,2,32.65,14,5,2,813500000,160500000.0,3051.27,22579.4,56448.5,1421.65,4012500.0,3454.1
C013,Private Credit Direct Lending Product Launch Jun 2025,Product Launch,2025-06-06,2025-07-03,Family Office,Private Credit,Direct Lending,Northeast,64597,22,15,7,3,4,1,22.32,23,11,4,1441750000,146250000.0,2936.23,5872.45,16149.25,2264.04,3656250.0,5560.1
C005,Real Estate Value-Add Real Estate Email Campaign Nov 2025,Email Campaign,2025-11-02,2025-12-03,All Wealth,Real Estate,Value-Add Real Estate,National,6570,115,37,0,8,1,0,6.1,15,10,1,717250000,101000000.0,57.13,657.0,6570.0,15372.91,2525000.0,38332.3
C024,Private Credit Opportunistic Credit Webinar Oct 2025,Webinar,2025-10-10,2025-11-12,All Wealth,Private Credit,Opportunistic Credit,West,18962,33,15,6,2,1,0,12.67,23,11,4,983750000,99250000.0,574.61,1723.82,4740.5,5234.15,2481250.0,12985.4
C004,Private Credit Opportunistic Credit Email Campaign Aug 2025,Email Campaign,2025-08-12,2025-09-16,Family Office,Private Credit,Opportunistic Credit,Southwest,5919,28,14,0,2,0,0,6.18,27,7,1,1319500000,80500000.0,211.39,845.57,5919.0,13600.27,2012500.0,33900.7
C001,Private Equity Growth Equity Webinar Dec 2025,Webinar,2025-12-18,2026-01-23,RIA,Private Equity,Growth Equity,National,18713,53,30,9,10,3,0,16.08,16,9,5,323500000,78750000.0,353.08,2079.22,3742.6,4208.3,1968750.0,10420.8
C011,Real Estate Opportunistic Real Estate Advisor Education Series Mar 2026,Advisor Education Series,2026-03-18,2026-04-14,All Channels,Real Estate,Opportunistic Real Estate,National,55294,104,62,19,36,14,2,21.76,18,7,2,527250000,57500000.0,531.67,7899.14,27647.0,1039.9,1437500.0,2499.7
C018,Private Credit Opportunistic Credit Roadshow Aug 2025,Roadshow,2025-08-24,2025-08-31,Institutional,Private Credit,Opportunistic Credit,Midwest,121328,29,20,10,12,9,5,35.21,22,13,4,474500000,33500000.0,4183.72,9332.92,30332.0,276.11,837500.0,590.3
C020,Real Estate Opportunistic Real Estate Advisor Education Series Aug 2025,Advisor Education Series,2025-08-07,2025-09-19,Private Bank / Wirehouse,Real Estate,Opportunistic Real Estate,National,41163,37,24,8,12,3,0,21.41,16,5,1,420750000,24750000.0,1112.51,8232.6,41163.0,601.27,618750.0,1403.2
C008,Private Equity Growth Equity Product Launch Feb 2026,Product Launch,2026-02-11,2026-03-07,All Wealth,Private Equity,Growth Equity,National,98464,78,52,21,27,16,2,25.59,27,12,4,976250000,24000000.0,1262.36,8205.33,24616.0,243.74,600000.0,509.4
C003,Real Estate Value-Add Real Estate Email Campaign May 2025,Email Campaign,2025-05-03,2025-05-21,Institutional,Real Estate,Value-Add Real Estate,Southwest,5465,20,7,0,1,0,0,6.25,17,9,2,309500000,20500000.0,273.25,607.22,2732.5,3751.14,512500.0,9277.9
C027,Private Equity Buyout Market Outlook Event May 2025,Market Outlook Event,2025-05-02,2025-05-25,RIA,Private Equity,Buyout,West,69553,54,33,15,11,6,3,21.44,15,8,2,424000000,17250000.0,1288.02,8694.12,34776.5,248.01,431250.0,520.0
C014,Private Equity Buyout Email Campaign Feb 2026,Email Campaign,2026-02-05,2026-03-20,RIA,Private Equity,Buyout,Midwest,4890,36,8,0,2,0,0,6.25,17,4,1,788750000,13500000.0,135.83,1222.5,4890.0,2760.74,337500.0,6801.8
C016,Real Estate Opportunistic Real Estate Email Campaign Feb 2026,Email Campaign,2026-02-22,2026-03-27,RIA,Real Estate,Opportunistic Real Estate,West,6177,48,19,0,3,0,0,6.4,18,8,2,353750000,12000000.0,128.69,772.12,3088.5,1942.69,300000.0,4756.7
C019,Infrastructure Core Infrastructure Advisor Education Series Nov 2025,Advisor Education Series,2025-11-25,2025-12-14,Private Bank / Wirehouse,Infrastructure,Core Infrastructure,National,37310,68,42,10,19,5,1,17.9,14,4,1,912500000,10000000.0,548.68,9327.5,37310.0,268.02,250000.0,570.1
C009,Private Credit Opportunistic Credit Email Campaign Sep 2025,Email Campaign,2025-09-09,2025-09-28,Private Bank / Wirehouse,Private Credit,Opportunistic Credit,Northeast,6908,20,5,0,2,1,0,6.15,14,4,1,618500000,6500000.0,345.4,1727.0,6908.0,940.94,162500.0,2252.3
C015,Private Equity Growth Equity Advisor Education Series Dec 2025,Advisor Education Series,2025-12-23,2026-01-06,Private Bank / Wirehouse,Private Equity,Growth Equity,Northeast,41062,20,14,4,6,4,1,24.05,15,2,1,335750000,5250000.0,2053.1,20531.0,41062.0,127.86,131250.0,219.6
C026,Private Equity Buyout Roadshow Sep 2025,Roadshow,2025-09-24,2025-10-24,Private Bank / Wirehouse,Private Equity,Buyout,West,121939,20,12,6,1,2,0,19.75,22,8,1,749250000,4500000.0,6096.95,15242.38,121939.0,36.9,112500.0,-7.7
C012,Private Credit Direct Lending Product Launch Nov 2025,Product Launch,2025-11-21,2025-12-29,Institutional,Private Credit,Direct Lending,Midwest,104621,32,18,9,6,8,1,25.31,11,4,1,300500000,4250000.0,3269.41,26155.25,104621.0,40.62,106250.0,1.6
C007,Private Equity Growth Equity Roadshow Dec 2025,Roadshow,2025-12-13,2025-12-27,Private Bank / Wirehouse,Private Equity,Growth Equity,Southwest,63156,38,28,14,12,7,3,28.08,14,5,0,544750000,0.0,1662.0,12631.2,,0.0,0.0,-100.0
