group_label,group_value,total_opportunities,active_opportunities,committed_opportunities,lost_opportunities,expected_pipeline_usd,committed_capital_usd,interested_or_later_rate,dd_or_later_rate,soft_circle_or_later_rate,committed_rate,lost_rate,avg_days_to_close
overall,All,1500,1119,163,218,58811000000,6748000000,75.53,39.4,20.73,10.87,14.53,149.8
stage,Prospect,367,367,0,0,14076250000,0,0.0,0.0,0.0,0.0,0.0,
stage,Interested,324,324,0,0,14133500000,0,100.0,0.0,0.0,0.0,0.0,
stage,Due Diligence,280,280,0,0,10742000000,0,100.0,100.0,0.0,0.0,0.0,
stage,Soft Circle,148,148,0,0,5676500000,0,100.0,100.0,100.0,0.0,0.0,
stage,Committed,163,0,163,0,6941000000,6748000000,100.0,100.0,100.0,100.0,0.0,149.8
stage,Lost,218,0,0,218,7241750000,0,100.0,0.0,0.0,0.0,100.0,
region,International,190,147,15,28,4388750000,216750000,72.11,38.95,16.84,7.89,14.74,150.3
region,Midwest,154,112,23,19,7275500000,1376250000,77.27,41.56,25.32,14.94,12.34,144.7
region,Northeast,432,341,37,54,20141250000,1612750000,77.08,43.98,20.14,8.56,12.5,155.6
region,Southeast,223,164,19,40,7795750000,581000000,76.68,36.32,21.52,8.52,17.94,160.8
region,Southwest,191,131,28,32,9771750000,1658500000,75.39,40.31,23.04,14.66,16.75,143.2
region,West,310,224,41,45,9438000000,1302750000,73.87,33.87,19.68,13.23,14.52,146.9
firm_type,Consultant,114,87,12,15,2336250000,155500000,67.54,28.95,15.79,10.53,13.16,154.3
firm_type,Family Office,256,191,29,36,13881250000,2096750000,78.52,42.97,22.27,11.33,14.06,159.6
firm_type,Institutional Investor,206,158,24,24,14290500000,1863000000,75.73,37.86,19.9,11.65,11.65,156.0
firm_type,Private Bank,313,238,31,44,14316250000,1324750000,77.64,45.05,20.45,9.9,14.06,142.3
firm_type,RIA,363,268,39,56,4828250000,551000000,74.38,38.02,21.21,10.74,15.43,139.7
firm_type,Wirehouse,248,177,28,43,9158500000,757000000,75.0,36.69,21.77,11.29,17.34,155.0
asset_class,Infrastructure,318,237,37,44,14103500000,1749500000,76.42,39.62,20.13,11.64,13.84,141.5
asset_class,Private Credit,452,337,44,71,16675500000,1617250000,73.01,37.17,20.8,9.73,15.71,156.7
asset_class,Private Equity,276,201,36,39,10811000000,1918750000,75.36,40.94,22.1,13.04,14.13,141.4
asset_class,Real Estate,454,344,46,64,17221000000,1462500000,77.53,40.53,20.26,10.13,14.1,156.5
aum_segment,100M-500M,355,261,44,50,1978250000,248000000,74.93,37.75,20.56,12.39,14.08,135.3
aum_segment,1B-5B,426,323,43,60,20040000000,2200000000,75.59,39.91,21.13,10.09,14.08,145.4
aum_segment,500M-1B,306,229,27,50,3944500000,322250000,77.45,42.48,20.59,8.82,16.34,169.0
aum_segment,5B+,215,161,29,25,32239750000,3910750000,76.74,40.93,22.33,13.49,11.63,155.6
aum_segment,<100M,198,145,20,33,608500000,67000000,72.22,34.85,18.69,10.1,16.67,157.2
