engagement_id,campaign_id,advisor_id,opened_email,attended_event,downloaded_materials,requested_followup,scheduled_meeting,engagement_score
E000001,C001,A0008,1,0,1,1,0,51
E000002,C001,A0378,1,0,0,0,0,2
E000003,C001,A0398,1,0,1,0,0,27
E000004,C001,A0191,0,0,0,0,0,10
E000005,C001,A0237,0,0,0,0,0,0
E000006,C001,A0095,1,1,0,0,0,32
E000007,C001,A0142,0,0,0,0,0,5
E000008,C001,A0125,0,0,0,0,0,4
E000009,C001,A0019,1,0,0,0,0,22
E000010,C001,A0277,0,0,0,0,0,0
E000011,C001,A0396,0,0,0,0,0,6
E000012,C001,A0188,1,0,0,0,0,9
E000013,C001,A0045,0,0,0,0,0,3
E000014,C001,A0259,1,0,1,0,0,43
E000015,C001,A0322,1,0,1,0,0,32
E000016,C001,A0012,1,1,1,0,0,51
E000017,C001,A0194,1,1,0,1,0,61
E000018,C001,A0387,0,0,0,0,0,0
E000019,C001,A0127,1,1,0,0,0,34
E000020,C001,A0183,1,0,0,0,0,5
E000021,C001,A0326,1,0,0,0,0,0
E000022,C001,A0145,1,0,0,0,0,15
E000023,C001,A0318,0,0,0,0,0,5
E000024,C001,A0306,1,0,1,0,0,30
E000025,C001,A0175,0,0,0,0,0,0
E000026,C001,A0332,1,1,0,0,0,56
E000027,C001,A0268,0,0,0,0,0,0
E000028,C001,A0193,1,1,0,1,0,53
E000029,C001,A0107,0,0,0,0,0,6
E000030,C001,A0381,1,1,0,0,0,34
E000031,C001,A0292,0,0,0,0,0,0
E000032,C001,A0184,1,1,1,0,0,56
E000033,C001,A0248,0,0,0,0,0,2
E000034,C001,A0100,1,0,0,0,0,14
E000035,C001,A0097,0,0,0,0,0,0
E000036,C001,A0379,1,0,0,0,0,5
E000037,C001,A0371,1,0,1,0,0,21
E000038,C001,A0362,1,0,0,0,0,12
E000039,C001,A0189,1,0,1,0,0,30
E000040,C001,A0223,1,0,0,0,0,18
E000041,C001,A0243,0,0,0,0,0,2
E000042,C001,A0296,1,0,0,0,0,5
E000043,C001,A0050,0,0,0,0,0,0
E000044,C001,A0258,0,0,0,0,0,0
E000045,C001,A0086,0,0,0,0,0,4
E000046,C001,A0370,0,0,0,0,0,0
E000047,C001,A0137,1,1,0,0,0,29
E000048,C001,A0375,0,0,0,0,0,0
E000049,C001,A0342,1,0,1,0,0,30
E000050,C001,A0289,0,0,0,0,0,0
E000051,C001,A0279,1,0,0,0,0,13
E000052,C001,A0022,0,0,0,0,0,0
E000053,C001,A0047,1,0,0,0,0,15
E000054,C002,A0251,1,0,0,0,0,8
E000055,C002,A0388,1,0,0,0,0,3
E000056,C002,A0369,1,0,1,0,0,32
E000057,C002,A0170,1,0,0,0,0,4
E000058,C002,A0066,1,0,0,0,0,7
E000059,C002,A0139,1,0,0,0,0,8
E000060,C002,A0174,0,0,0,0,0,1
