opportunity_id,advisor_id,rm_id,fund_id,created_date,current_stage,expected_commitment,actual_commitment,close_date,days_to_close,probability,source_campaign_id,loss_reason
O00001,A0369,RM011,F009,2025-07-04,Due Diligence,11500000,,,,50,,
O00002,A0290,RM015,F009,2026-03-09,Interested,9250000,,,,25,,
O00003,A0163,RM014,F008,2026-03-01,Prospect,64000000,,,,10,,
O00004,A0014,RM013,F007,2026-03-12,Committed,5000000,5000000.0,2026-08-27,168.0,100,,
O00005,A0355,RM010,F010,2025-10-30,Due Diligence,6250000,,,,50,C023,
O00006,A0281,RM009,F006,2025-05-11,Soft Circle,7500000,,,,75,C007,
O00007,A0053,RM008,F003,2026-01-21,Soft Circle,22500000,,,,75,,
O00008,A0372,RM002,F010,2026-01-26,Prospect,1500000,,,,10,,
O00009,A0194,RM002,F004,2026-02-19,Committed,26750000,26750000.0,2026-05-13,83.0,100,,
O00010,A0012,RM012,F001,2026-02-20,Interested,5000000,,,,25,,
O00011,A0118,RM013,F003,2025-11-30,Lost,14000000,,2026-05-10,161.0,0,,Client Risk Appetite
O00012,A0343,RM004,F001,2025-06-26,Committed,66500000,72500000.0,2026-02-08,227.0,100,,
O00013,A0165,RM011,F006,2025-11-17,Interested,88250000,,,,25,,
O00014,A0321,RM014,F007,2026-02-10,Prospect,5000000,,,,10,,
O00015,A0160,RM002,F001,2026-03-02,Lost,7750000,,2026-05-19,78.0,0,,Liquidity Mismatch
O00016,A0052,RM006,F003,2025-06-10,Interested,7000000,,,,25,,
O00017,A0075,RM001,F006,2025-12-22,Committed,2500000,2750000.0,2026-08-06,227.0,100,,
O00018,A0352,RM002,F002,2025-06-22,Prospect,83500000,,,,10,C014,
O00019,A0070,RM004,F002,2025-12-06,Committed,139250000,142000000.0,2026-05-23,168.0,100,C017,
O00020,A0373,RM005,F003,2025-12-29,Lost,7000000,,2026-03-23,84.0,0,C026,Liquidity Mismatch
O00021,A0115,RM012,F007,2025-11-11,Committed,206000000,193750000.0,2026-07-06,237.0,100,,
O00022,A0388,RM012,F005,2025-09-19,Prospect,1000000,,,,10,,
O00023,A0038,RM012,F005,2026-02-21,Committed,43000000,42000000.0,2026-07-14,143.0,100,C023,
O00024,A0215,RM005,F007,2025-09-03,Lost,201750000,,2025-10-19,46.0,0,,Timing - Deferred
O00025,A0014,RM013,F008,2026-01-22,Interested,2500000,,,,25,,
O00026,A0101,RM005,F006,2025-09-14,Committed,3000000,2750000.0,2025-11-13,60.0,100,,
O00027,A0341,RM002,F004,2025-11-23,Prospect,2500000,,,,10,C015,
O00028,A0072,RM009,F003,2025-06-07,Interested,262000000,,,,25,C025,
O00029,A0355,RM010,F003,2025-11-21,Committed,2250000,2250000.0,2026-02-25,96.0,100,C002,
O00030,A0232,RM012,F008,2025-06-08,Interested,2750000,,,,25,,
O00031,A0289,RM008,F003,2026-01-25,Prospect,18250000,,,,10,,
O00032,A0143,RM009,F003,2025-09-17,Lost,1000000,,2026-03-05,169.0,0,,Liquidity Mismatch
O00033,A0395,RM002,F006,2025-12-07,Prospect,4750000,,,,10,,
O00034,A0329,RM001,F004,2025-06-24,Interested,12750000,,,,25,,
O00035,A0363,RM012,F008,2026-01-24,Prospect,78250000,,,,10,C014,
O00036,A0057,RM015,F006,2025-08-04,Due Diligence,6000000,,,,50,,
O00037,A0106,RM001,F006,2025-08-11,Committed,5000000,5000000.0,2026-02-11,184.0,100,C001,
O00038,A0335,RM006,F003,2025-07-14,Interested,16500000,,,,25,,
O00039,A0265,RM001,F009,2025-11-27,Committed,5000000,4750000.0,2026-04-07,131.0,100,,
O00040,A0152,RM015,F010,2026-04-14,Prospect,1000000,,,,10,,
O00041,A0184,RM015,F003,2025-05-12,Interested,1750000,,,,25,,
O00042,A0173,RM016,F002,2026-02-01,Prospect,5000000,,,,10,,
O00043,A0218,RM006,F007,2025-05-08,Lost,8500000,,2025-10-04,149.0,0,C019,Competing Manager Selected
O00044,A0194,RM002,F005,2025-10-23,Committed,9250000,9000000.0,2026-01-15,84.0,100,C008,
O00045,A0180,RM008,F001,2026-01-08,Interested,5000000,,,,25,,
O00046,A0130,RM009,F009,2025-10-03,Prospect,44500000,,,,10,,
O00047,A0177,RM014,F009,2026-04-12,Lost,5000000,,2026-06-18,67.0,0,,Pricing/Fee Concerns
O00048,A0069,RM016,F009,2026-02-16,Due Diligence,194000000,,,,50,C026,
O00049,A0074,RM008,F009,2026-01-20,Due Diligence,58250000,,,,50,C016,
O00050,A0273,RM012,F006,2025-09-06,Lost,49750000,,2026-02-15,162.0,0,C003,Pricing/Fee Concerns
O00051,A0386,RM003,F001,2025-08-12,Lost,54750000,,2025-12-19,129.0,0,,Pricing/Fee Concerns
O00052,A0083,RM012,F003,2025-07-15,Committed,3500000,3750000.0,2025-12-13,151.0,100,,
O00053,A0363,RM012,F007,2025-06-12,Prospect,63500000,,,,10,,
O00054,A0247,RM013,F010,2025-11-03,Committed,1500000,1500000.0,2026-05-01,179.0,100,,
O00055,A0381,RM004,F001,2025-08-18,Lost,5000000,,2025-12-18,122.0,0,,Allocation Already Filled
O00056,A0156,RM004,F004,2026-03-23,Prospect,2500000,,,,10,,
O00057,A0274,RM001,F008,2025-10-06,Lost,5000000,,2026-01-25,111.0,0,,Pricing/Fee Concerns
O00058,A0213,RM016,F009,2026-01-11,Prospect,119500000,,,,10,,
O00059,A0391,RM012,F007,2025-05-26,Lost,5000000,,2025-07-17,52.0,0,C016,Pricing/Fee Concerns
O00060,A0024,RM008,F001,2026-01-22,Due Diligence,8000000,,,,50,C006,
O00061,A0023,RM001,F005,2025-08-02,Prospect,9750000,,,,10,,
O00062,A0344,RM001,F004,2025-08-10,Prospect,3750000,,,,10,,
O00063,A0021,RM010,F004,2025-09-17,Prospect,53500000,,,,10,C011,
O00064,A0361,RM001,F005,2026-01-14,Committed,45750000,45250000.0,2026-04-24,100.0,100,C011,
O00065,A0037,RM013,F005,2026-01-16,Committed,22500000,24750000.0,2026-06-27,162.0,100,C020,
O00066,A0043,RM003,F001,2026-04-02,Prospect,21000000,,,,10,,
O00067,A0131,RM006,F006,2025-10-28,Prospect,3750000,,,,10,,
O00068,A0289,RM008,F006,2025-08-04,Due Diligence,12250000,,,,50,,
O00069,A0226,RM006,F008,2025-07-14,Soft Circle,4000000,,,,75,,
O00070,A0362,RM014,F004,2026-02-06,Prospect,6750000,,,,10,C023,
O00071,A0249,RM001,F005,2025-08-08,Lost,10750000,,2026-01-03,148.0,0,C026,Timing - Deferred
O00072,A0235,RM005,F006,2025-09-25,Committed,66500000,63500000.0,2026-03-20,176.0,100,,
O00073,A0223,RM008,F003,2025-05-16,Soft Circle,1000000,,,,75,C021,
O00074,A0161,RM009,F008,2026-03-07,Due Diligence,87000000,,,,50,,
O00075,A0253,RM004,F001,2026-03-25,Interested,37500000,,,,25,,
O00076,A0389,RM004,F009,2025-06-27,Interested,5000000,,,,25,C002,
O00077,A0389,RM004,F004,2025-06-04,Committed,2500000,2500000.0,2025-10-20,138.0,100,,
O00078,A0043,RM003,F010,2025-06-04,Due Diligence,20000000,,,,50,,
O00079,A0180,RM008,F008,2026-01-02,Lost,2500000,,2026-03-13,70.0,0,C012,Competing Manager Selected
O00080,A0233,RM004,F007,2025-07-01,Due Diligence,7000000,,,,50,C007,
O00081,A0285,RM011,F007,2026-01-15,Due Diligence,20000000,,,,50,,
O00082,A0120,RM009,F008,2025-09-21,Committed,4000000,3750000.0,2026-04-14,205.0,100,,
O00083,A0394,RM005,F009,2025-06-09,Committed,5000000,4500000.0,2025-10-14,127.0,100,,
O00084,A0164,RM001,F006,2025-10-21,Prospect,104500000,,,,10,,
O00085,A0114,RM016,F002,2026-01-28,Prospect,59000000,,,,10,C009,
O00086,A0310,RM010,F001,2025-08-24,Soft Circle,9750000,,,,75,,
O00087,A0231,RM003,F001,2025-06-25,Prospect,5000000,,,,10,,
O00088,A0360,RM013,F008,2026-02-17,Prospect,86000000,,,,10,,
O00089,A0041,RM008,F001,2025-08-10,Interested,65250000,,,,25,,
O00090,A0021,RM010,F010,2025-05-13,Prospect,169500000,,,,10,,
O00091,A0376,RM012,F006,2025-06-29,Committed,87000000,80500000.0,2025-10-06,99.0,100,C004,
O00092,A0176,RM003,F007,2026-01-18,Lost,61750000,,2026-03-30,71.0,0,C026,Timing - Deferred
O00093,A0085,RM002,F010,2025-12-10,Lost,1500000,,2026-03-23,103.0,0,,Competing Manager Selected
O00094,A0296,RM001,F005,2025-06-21,Prospect,5250000,,,,10,C007,
O00095,A0400,RM006,F010,2025-07-05,Interested,148500000,,,,25,,
O00096,A0400,RM006,F001,2026-01-24,Committed,306250000,297500000.0,2026-03-25,60.0,100,C017,
O00097,A0385,RM001,F001,2025-06-27,Prospect,5500000,,,,10,,
O00098,A0061,RM006,F003,2025-09-11,Committed,15750000,15750000.0,2025-12-14,94.0,100,,
O00099,A0339,RM004,F009,2026-02-27,Soft Circle,14500000,,,,75,,
O00100,A0048,RM007,F009,2025-10-30,Prospect,239500000,,,,10,C019,
O00101,A0142,RM013,F008,2026-03-31,Interested,2500000,,,,25,C027,
O00102,A0069,RM016,F007,2026-02-12,Committed,229500000,198750000.0,2026-06-01,109.0,100,,
O00103,A0141,RM003,F008,2025-11-13,Lost,2500000,,2026-02-17,96.0,0,C020,Liquidity Mismatch
O00104,A0098,RM009,F001,2025-07-30,Prospect,5000000,,,,10,,
O00105,A0357,RM010,F001,2025-08-25,Interested,5000000,,,,25,C020,
O00106,A0396,RM016,F004,2026-02-08,Due Diligence,5000000,,,,50,C003,
O00107,A0068,RM004,F001,2025-10-15,Interested,73000000,,,,25,,
O00108,A0051,RM010,F002,2025-05-21,Lost,74000000,,2025-08-18,89.0,0,,Timing - Deferred
O00109,A0064,RM011,F006,2026-02-08,Prospect,3000000,,,,10,,
O00110,A0221,RM001,F001,2025-11-04,Soft Circle,5000000,,,,75,C016,
O00111,A0352,RM002,F007,2026-02-09,Interested,29250000,,,,25,,
O00112,A0297,RM006,F007,2025-07-20,Prospect,199250000,,,,10,C024,
O00113,A0166,RM013,F010,2025-10-06,Due Diligence,1000000,,,,50,C008,
O00114,A0383,RM010,F005,2025-08-14,Interested,34250000,,,,25,,
O00115,A0211,RM006,F008,2026-01-30,Soft Circle,88750000,,,,75,,
