activity_id,activity_date,advisor_id,rm_id,activity_type,product_discussed,asset_class_discussed,engagement_score,next_step_required,completed_followup,days_to_followup,meeting_duration_minutes
AC000001,2025-11-14,A0020,RM014,In-person Meeting,Direct Lending Income Fund V,Private Credit,92,Yes,Yes,12.0,69
AC000002,2025-11-30,A0119,RM007,In-person Meeting,Global Infrastructure Partners IV,Infrastructure,81,No,No,,107
AC000003,2025-10-09,A0349,RM014,Intro Call,Core Infrastructure Income Fund III,Infrastructure,69,No,No,,34
AC000004,2025-07-11,A0365,RM011,Intro Call,Real Estate Income Fund II,Real Estate,53,Yes,Yes,23.0,34
AC000005,2025-07-29,A0038,RM012,Follow-up Call,Value-Add Real Estate Fund IV,Real Estate,52,No,No,,29
AC000006,2025-11-06,A0183,RM014,Follow-up Call,Opportunistic Real Estate Fund VI,Real Estate,58,Yes,No,3.0,53
AC000007,2025-07-05,A0149,RM014,Follow-up Call,Opportunistic Credit Fund II,Private Credit,76,Yes,No,4.0,32
AC000008,2025-07-25,A0196,RM009,In-person Meeting,Direct Lending Income Fund V,Private Credit,79,Yes,Yes,10.0,60
AC000009,2026-03-29,A0222,RM010,Portfolio Review,Growth Equity Partners III,Private Equity,73,Yes,No,20.0,116
AC000010,2025-06-22,A0010,RM007,Product Education,Growth Equity Partners III,Private Equity,60,Yes,No,12.0,37
AC000011,2026-03-22,A0341,RM002,Follow-up Call,Global Infrastructure Partners IV,Infrastructure,61,Yes,Yes,4.0,10
AC000012,2026-03-28,A0391,RM012,Product Education,Opportunistic Credit Fund II,Private Credit,40,No,No,,29
AC000013,2026-03-23,A0263,RM014,Intro Call,Value-Add Real Estate Fund IV,Real Estate,41,Yes,No,3.0,45
AC000014,2026-04-25,A0268,RM007,Follow-up Call,Real Estate Income Fund II,Real Estate,58,Yes,Yes,9.0,38
AC000015,2025-12-10,A0210,RM012,Due Diligence Meeting,Core Infrastructure Income Fund III,Infrastructure,59,Yes,Yes,18.0,74
AC000016,2025-06-19,A0127,RM014,Product Education,Growth Equity Partners III,Private Equity,69,No,No,,34
AC000017,2026-01-13,A0053,RM008,In-person Meeting,Growth Equity Partners III,Private Equity,74,Yes,No,22.0,60
AC000018,2025-05-20,A0234,RM008,Intro Call,Opportunistic Credit Fund II,Private Credit,50,No,No,,33
AC000019,2025-11-13,A0021,RM010,Webinar,Global Infrastructure Partners IV,Infrastructure,65,Yes,Yes,7.0,44
AC000020,2025-07-13,A0334,RM007,In-person Meeting,Senior Direct Lending Fund VI,Private Credit,62,Yes,Yes,12.0,97
AC000021,2026-01-25,A0168,RM013,Webinar,Private Equity Buyout Fund VII,Private Equity,67,Yes,Yes,17.0,32
AC000022,2026-04-13,A0165,RM011,Intro Call,Growth Equity Partners III,Private Equity,65,Yes,Yes,20.0,31
AC000023,2025-11-20,A0124,RM007,Portfolio Review,Private Equity Buyout Fund VII,Private Equity,94,No,No,,74
AC000024,2025-09-21,A0390,RM001,Due Diligence Meeting,Core Infrastructure Income Fund III,Infrastructure,85,Yes,Yes,26.0,79
AC000025,2026-01-12,A0062,RM016,Webinar,Opportunistic Real Estate Fund VI,Real Estate,62,No,No,,50
AC000026,2025-12-08,A0054,RM003,Follow-up Call,Growth Equity Partners III,Private Equity,70,Yes,Yes,10.0,34
AC000027,2025-06-12,A0060,RM006,Due Diligence Meeting,Global Infrastructure Partners IV,Infrastructure,63,Yes,Yes,26.0,49
AC000028,2026-04-24,A0267,RM007,Webinar,Senior Direct Lending Fund VI,Private Credit,57,Yes,Yes,20.0,53
AC000029,2025-10-13,A0399,RM006,In-person Meeting,Value-Add Real Estate Fund IV,Real Estate,40,Yes,No,29.0,73
AC000030,2026-01-17,A0090,RM014,Webinar,Opportunistic Credit Fund II,Private Credit,41,Yes,No,4.0,57
AC000031,2026-04-11,A0362,RM014,Portfolio Review,Value-Add Real Estate Fund IV,Real Estate,79,Yes,Yes,26.0,49
AC000032,2025-05-29,A0105,RM004,In-person Meeting,Private Equity Buyout Fund VII,Private Equity,67,No,No,,58
AC000033,2026-01-21,A0261,RM005,In-person Meeting,Growth Equity Partners III,Private Equity,67,No,No,,77
AC000034,2025-11-25,A0019,RM006,Follow-up Call,Senior Direct Lending Fund VI,Private Credit,41,Yes,Yes,19.0,43
AC000035,2025-09-27,A0198,RM014,Product Education,Growth Equity Partners III,Private Equity,84,Yes,Yes,14.0,39
AC000036,2025-12-21,A0264,RM003,In-person Meeting,Opportunistic Real Estate Fund VI,Real Estate,88,No,No,,102
AC000037,2025-06-14,A0212,RM007,Intro Call,Value-Add Real Estate Fund IV,Real Estate,61,No,No,,33
AC000038,2025-07-23,A0091,RM009,Webinar,Real Estate Income Fund II,Real Estate,80,Yes,No,3.0,52
AC000039,2025-12-10,A0335,RM006,In-person Meeting,Opportunistic Credit Fund II,Private Credit,82,Yes,Yes,7.0,96
AC000040,2025-05-16,A0390,RM001,In-person Meeting,Real Estate Income Fund II,Real Estate,75,Yes,Yes,26.0,60
AC000041,2026-04-05,A0183,RM014,Webinar,Global Infrastructure Partners IV,Infrastructure,67,Yes,Yes,15.0,46
AC000042,2025-10-25,A0257,RM004,Intro Call,Growth Equity Partners III,Private Equity,53,Yes,Yes,20.0,14
AC000043,2025-06-23,A0323,RM016,Intro Call,Direct Lending Income Fund V,Private Credit,60,Yes,No,17.0,35
AC000044,2025-10-27,A0093,RM012,Webinar,Opportunistic Real Estate Fund VI,Real Estate,51,No,No,,48
AC000045,2025-10-24,A0343,RM004,Follow-up Call,Real Estate Income Fund II,Real Estate,68,No,No,,30
AC000046,2026-04-05,A0106,RM001,Webinar,Opportunistic Credit Fund II,Private Credit,49,Yes,Yes,26.0,40
AC000047,2026-04-25,A0316,RM001,Webinar,Opportunistic Credit Fund II,Private Credit,56,Yes,No,3.0,55
AC000048,2025-10-21,A0040,RM001,Follow-up Call,Value-Add Real Estate Fund IV,Real Estate,76,No,No,,50
AC000049,2026-01-11,A0108,RM008,In-person Meeting,Private Equity Buyout Fund VII,Private Equity,62,Yes,No,27.0,82
AC000050,2026-01-05,A0211,RM006,Follow-up Call,Opportunistic Credit Fund II,Private Credit,68,No,No,,30
AC000051,2025-07-21,A0208,RM014,In-person Meeting,Core Infrastructure Income Fund III,Infrastructure,75,No,No,,98
AC000052,2025-11-07,A0342,RM003,Webinar,Opportunistic Credit Fund II,Private Credit,47,Yes,Yes,26.0,51
AC000053,2025-07-19,A0399,RM006,Intro Call,Growth Equity Partners III,Private Equity,41,No,No,,35
AC000054,2026-01-08,A0037,RM013,Follow-up Call,Private Equity Buyout Fund VII,Private Equity,70,Yes,Yes,23.0,44
AC000055,2026-01-19,A0102,RM002,Intro Call,Opportunistic Credit Fund II,Private Credit,49,Yes,Yes,3.0,22
AC000056,2026-04-02,A0140,RM007,Intro Call,Growth Equity Partners III,Private Equity,36,No,No,,42
AC000057,2026-01-05,A0191,RM014,Portfolio Review,Direct Lending Income Fund V,Private Credit,51,No,No,,90
AC000058,2025-12-30,A0197,RM010,Portfolio Review,Global Infrastructure Partners IV,Infrastructure,73,Yes,Yes,28.0,50
AC000059,2026-02-06,A0343,RM004,Portfolio Review,Growth Equity Partners III,Private Equity,67,No,No,,63
AC000060,2025-07-20,A0314,RM016,Webinar,Core Infrastructure Income Fund III,Infrastructure,38,No,No,,23
AC000061,2025-07-13,A0009,RM010,Intro Call,Senior Direct Lending Fund VI,Private Credit,62,Yes,No,18.0,37
AC000062,2026-04-28,A0183,RM014,Follow-up Call,Senior Direct Lending Fund VI,Private Credit,62,No,No,,43
AC000063,2026-03-10,A0249,RM001,Due Diligence Meeting,Opportunistic Credit Fund II,Private Credit,94,Yes,Yes,15.0,91
AC000064,2026-03-04,A0183,RM014,In-person Meeting,Growth Equity Partners III,Private Equity,71,No,No,,103
AC000065,2025-09-29,A0046,RM009,Intro Call,Opportunistic Credit Fund II,Private Credit,42,Yes,Yes,7.0,38
AC000066,2026-01-25,A0155,RM011,Follow-up Call,Core Infrastructure Income Fund III,Infrastructure,53,No,No,,39
AC000067,2025-06-07,A0163,RM014,Follow-up Call,Core Infrastructure Income Fund III,Infrastructure,68,Yes,Yes,4.0,61
AC000068,2025-12-13,A0069,RM016,In-person Meeting,Growth Equity Partners III,Private Equity,85,Yes,No,18.0,71
AC000069,2025-10-11,A0307,RM014,Intro Call,Opportunistic Real Estate Fund VI,Real Estate,46,Yes,No,6.0,34
AC000070,2025-10-16,A0121,RM010,Webinar,Growth Equity Partners III,Private Equity,53,Yes,No,2.0,43
AC000071,2025-07-17,A0236,RM006,Portfolio Review,Direct Lending Income Fund V,Private Credit,82,Yes,Yes,3.0,100
AC000072,2026-03-24,A0204,RM004,Portfolio Review,Direct Lending Income Fund V,Private Credit,66,Yes,Yes,9.0,52
AC000073,2025-10-10,A0348,RM003,Intro Call,Opportunistic Real Estate Fund VI,Real Estate,43,Yes,Yes,2.0,18
AC000074,2026-02-09,A0045,RM016,Follow-up Call,Opportunistic Credit Fund II,Private Credit,59,Yes,No,29.0,27
AC000075,2025-09-11,A0041,RM008,Follow-up Call,Opportunistic Credit Fund II,Private Credit,61,No,No,,34
AC000076,2025-09-06,A0114,RM016,Follow-up Call,Growth Equity Partners III,Private Equity,57,Yes,Yes,16.0,35
AC000077,2025-07-21,A0173,RM016,Follow-up Call,Private Equity Buyout Fund VII,Private Equity,52,No,No,,23
AC000078,2026-02-14,A0113,RM003,Webinar,Private Equity Buyout Fund VII,Private Equity,61,No,No,,32
AC000079,2025-11-09,A0310,RM010,Follow-up Call,Core Infrastructure Income Fund III,Infrastructure,52,No,No,,37
AC000080,2026-02-10,A0094,RM005,Due Diligence Meeting,Private Equity Buyout Fund VII,Private Equity,65,No,No,,106
AC000081,2026-03-29,A0031,RM010,Intro Call,Core Infrastructure Income Fund III,Infrastructure,52,Yes,Yes,13.0,29
AC000082,2026-04-23,A0165,RM011,Intro Call,Direct Lending Income Fund V,Private Credit,72,Yes,No,8.0,14
AC000083,2025-10-11,A0316,RM001,Follow-up Call,Core Infrastructure Income Fund III,Infrastructure,47,Yes,No,29.0,34
AC000084,2026-02-14,A0342,RM003,Intro Call,Value-Add Real Estate Fund IV,Real Estate,38,Yes,No,2.0,33
AC000085,2025-10-05,A0297,RM006,Follow-up Call,Senior Direct Lending Fund VI,Private Credit,81,Yes,Yes,15.0,42
AC000086,2025-10-05,A0225,RM016,In-person Meeting,Global Infrastructure Partners IV,Infrastructure,62,No,No,,55
AC000087,2026-04-07,A0294,RM012,In-person Meeting,Direct Lending Income Fund V,Private Credit,73,No,No,,73
AC000088,2026-02-04,A0276,RM005,Product Education,Opportunistic Real Estate Fund VI,Real Estate,76,Yes,No,11.0,37
AC000089,2025-08-14,A0089,RM012,Intro Call,Opportunistic Credit Fund II,Private Credit,66,Yes,No,17.0,40
AC000090,2025-12-02,A0221,RM001,Intro Call,Direct Lending Income Fund V,Private Credit,46,No,No,,24
AC000091,2025-09-09,A0314,RM016,Portfolio Review,Core Infrastructure Income Fund III,Infrastructure,59,No,No,,60
AC000092,2026-01-16,A0120,RM009,Product Education,Senior Direct Lending Fund VI,Private Credit,63,Yes,Yes,18.0,35
AC000093,2025-07-18,A0264,RM003,Intro Call,Opportunistic Real Estate Fund VI,Real Estate,52,Yes,No,23.0,47
AC000094,2025-09-16,A0192,RM004,In-person Meeting,Global Infrastructure Partners IV,Infrastructure,88,Yes,Yes,12.0,63
AC000095,2025-07-28,A0200,RM007,Due Diligence Meeting,Growth Equity Partners III,Private Equity,82,Yes,Yes,28.0,65
AC000096,2026-04-10,A0033,RM009,Webinar,Core Infrastructure Income Fund III,Infrastructure,67,Yes,Yes,2.0,48
AC000097,2026-01-28,A0271,RM014,In-person Meeting,Senior Direct Lending Fund VI,Private Credit,63,Yes,Yes,29.0,92
